seed,u_nn,u_theory,Y_test
0,"[0.05366871505975723, 0.05145224928855896, 0.049457401037216187, 0.04766206443309784, 0.04604624956846237, 0.0445920005440712, 0.043283164501190186, 0.042105287313461304, 0.041045159101486206, 0.04009102284908295, 0.039232343435287476, 0.038459502160549164, 0.037763938307762146, 0.0371379479765892, 0.036574527621269226, 0.03606747090816498, 0.035611145198345184, 0.035200394690036774, 0.03483077883720398, 0.03449811041355133, 0.03419867902994156, 0.03392919898033142, 0.03368665277957916, 0.033468395471572876, 0.03327195346355438, 0.033095136284828186, 0.03293599933385849, 0.032792828977108, 0.03266393393278122]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
1,"[0.05367014557123184, 0.05145425349473953, 0.04945995658636093, 0.0476650595664978, 0.04604967683553696, 0.044595807790756226, 0.04328737407922745, 0.04210973531007767, 0.041047848761081696, 0.040091775357723236, 0.0392313078045845, 0.03845687955617905, 0.03775991499423981, 0.03713264316320419, 0.03656808286905289, 0.03605999797582626, 0.03560272604227066, 0.03519114851951599, 0.034820765256881714, 0.03448740392923355, 0.03418734669685364, 0.033917345106601715, 0.033674322068691254, 0.03345561772584915, 0.033258743584156036, 0.03308156877756119, 0.03292216360569, 0.032778672873973846, 0.03264949470758438]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
2,"[0.0536678284406662, 0.05145059525966644, 0.04945509135723114, 0.04765912890434265, 0.046042755246162415, 0.04458804428577423, 0.043278783559799194, 0.04210047423839569, 0.04103995859622955, 0.04008550941944122, 0.03922650218009949, 0.03845340013504028, 0.03775763511657715, 0.0371314138174057, 0.036567822098731995, 0.0360615998506546, 0.03560706973075867, 0.03519792854785919, 0.03482973575592041, 0.034498363733291626, 0.034200116991996765, 0.03393168747425079, 0.033690109848976135, 0.0334727019071579, 0.03327701985836029, 0.033100903034210205, 0.032942429184913635, 0.03279973566532135, 0.032671377062797546]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
3,"[0.05396700277924538, 0.05178317055106163, 0.049498189240694046, 0.04765333607792854, 0.04603879526257515, 0.044585730880498886, 0.043277982622385025, 0.042100969702005386, 0.041041698306798935, 0.040088314563035965, 0.03923029825091362, 0.03845808282494545, 0.0377630852162838, 0.03713757172226906, 0.03657462075352669, 0.03606795147061348, 0.035611946135759354, 0.03520158305764198, 0.03483223542571068, 0.034499797970056534, 0.034200627356767654, 0.033931393176317215, 0.03368903696537018, 0.03347095474600792, 0.03327465429902077, 0.033097993582487106, 0.032938990741968155, 0.03279590234160423, 0.032667119055986404]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
4,"[0.053663238883018494, 0.051444992423057556, 0.04944862425327301, 0.047651857137680054, 0.046034738421440125, 0.044579342007637024, 0.04326948523521423, 0.042090609669685364, 0.04102963209152222, 0.04007476568222046, 0.03921535611152649, 0.03844191133975983, 0.03774583339691162, 0.03711932897567749, 0.036555469036102295, 0.03604800999164581, 0.035591304302215576, 0.03518027067184448, 0.03481033444404602, 0.03447738289833069, 0.0341777503490448, 0.03390805423259735, 0.03366531431674957, 0.03344687819480896, 0.03325030207633972, 0.03307332098484039, 0.03291407227516174, 0.0327707976102829, 0.03264176845550537]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
5,"[0.0530262291431427, 0.05073833465576172, 0.0494556725025177, 0.047658771276474, 0.04604146629571915, 0.04458598047494888, 0.04327603429555893, 0.042097024619579315, 0.04103674739599228, 0.04008405655622482, 0.039226628839969635, 0.03845491260290146, 0.0377604141831398, 0.03713533282279968, 0.036572784185409546, 0.036066457629203796, 0.03561082482337952, 0.035200707614421844, 0.03483162075281143, 0.03449942171573639, 0.034200482070446014, 0.033931419253349304, 0.03368920832872391, 0.033471278846263885, 0.033275097608566284, 0.033098600804805756, 0.03293972462415695, 0.0327967032790184, 0.032667987048625946]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
6,"[0.0536443293094635, 0.05142364650964737, 0.04942505061626434, 0.04762628674507141, 0.0460074245929718, 0.04455043375492096, 0.04323917627334595, 0.04205795377492905, 0.04098811745643616, 0.04002523422241211, 0.03915867954492569, 0.0383787676692009, 0.03776109218597412, 0.03713521361351013, 0.0365719273686409, 0.036064937710762024, 0.035608649253845215, 0.035197995603084564, 0.03482842445373535, 0.03449579328298569, 0.0341963991522789, 0.03392701596021652, 0.03368450701236725, 0.033466264605522156, 0.03326985985040665, 0.03309310972690582, 0.03293398767709732, 0.03279081732034683, 0.032661937177181244]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
7,"[0.053668513894081116, 0.05145099759101868, 0.04945796728134155, 0.0476645827293396, 0.04604899883270264, 0.04459330439567566, 0.04328320920467377, 0.042104244232177734, 0.041043221950531006, 0.0400882363319397, 0.03922882676124573, 0.03845539689064026, 0.03775922954082489, 0.037132710218429565, 0.036568865180015564, 0.03606133162975311, 0.035604581236839294, 0.0351935476064682, 0.03482358157634735, 0.03449058532714844, 0.034190937876701355, 0.03392130136489868, 0.03367854654788971, 0.0334601104259491, 0.03326350450515747, 0.03308647871017456, 0.032927244901657104, 0.032783955335617065, 0.032654933631420135]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
8,"[0.05366279184818268, 0.05144534260034561, 0.049449317157268524, 0.04765290766954422, 0.046036094427108765, 0.04457978904247284, 0.04326867312192917, 0.042088672518730164, 0.04102664440870285, 0.04007083177566528, 0.03921062499284744, 0.03843637555837631, 0.03773963451385498, 0.037112511694431305, 0.036548107862472534, 0.03604012727737427, 0.03558298945426941, 0.03517153859138489, 0.034801267087459564, 0.034467972815036774, 0.03416804224252701, 0.03389810025691986, 0.03365512192249298, 0.033436454832553864, 0.033239662647247314, 0.03306257724761963, 0.03290317952632904, 0.032759711146354675, 0.03263058513402939]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
9,"[0.053672052919864655, 0.05145646631717682, 0.049462467432022095, 0.04766784608364105, 0.04605270177125931, 0.044599100947380066, 0.04329037666320801, 0.04211007058620453, 0.04104781895875931, 0.04009179770946503, 0.03923134505748749, 0.03845697641372681, 0.03776002675294876, 0.03713276982307434, 0.03656826168298721, 0.03606016933917999, 0.03560292720794678, 0.035191357135772705, 0.03482097387313843, 0.03448766469955444, 0.03418761491775513, 0.03391757607460022, 0.03367459774017334, 0.03345589339733124, 0.033259063959121704, 0.03308190405368805, 0.03292247653007507, 0.032778963446617126, 0.03264981508255005]","[0.053668420761823654, 0.05145157873630524, 0.04945642128586769, 0.04766077920794487, 0.04604470357298851, 0.04459023475646973, 0.04328121244907379, 0.04210308939218521, 0.04104278236627579, 0.04008850082755089, 0.039229653775691986, 0.03845668584108353, 0.03776101768016815, 0.037134915590286255, 0.03657142445445061, 0.036064282059669495, 0.035607852041721344, 0.035197071731090546, 0.03482736274600029, 0.03449462726712227, 0.03419516235589981, 0.03392564505338669, 0.033683083951473236, 0.03346477448940277, 0.03326829522848129, 0.0330914668738842, 0.03293231874704361, 0.032789088785648346, 0.03266017884016037]","[0.10000000149011612, 0.14000000059604645, 0.17599999904632568, 0.20839999616146088, 0.2375599890947342, 0.26380398869514465, 0.28742358088493347, 0.3086812198162079, 0.3278130888938904, 0.3450317978858948, 0.3605286180973053, 0.37447574734687805, 0.38702818751335144, 0.3983253836631775, 0.4084928333759308, 0.41764354705810547, 0.42587918043136597, 0.4332912564277649, 0.43996211886405945, 0.4459659159183502, 0.4513693153858185, 0.4562323987483978, 0.46060916781425476, 0.464548259973526, 0.4680934250354767, 0.47128409147262573, 0.4741556942462921, 0.47674012184143066, 0.4790661036968231]"
